setting,config,seed,acc,ece,nll,brier,weight_entropy,corr_weight_correct,missing_prototype_rate
l60,entropy,1,0.133888,0.137376,3.667108,0.976222,1.7647,0.1071,0.8333
l60,prototype|blend0.5,1,0.119935,0.227217,4.09393,1.034634,1.3498,0.5547,0.8333
l60,joint|mask,1,0.092533,0.317595,5.338281,1.125748,0.0,0.5547,0.8333
l60,joint|blend0.25,1,0.13785,0.17346,3.814754,0.993371,1.6675,0.5547,0.8333
l60,uniform,2,0.112457,0.168487,3.85384,0.999966,1.7918,nan,0.8333
l60,oracle,2,0.093202,0.380833,5.724843,1.181833,0.0,0.5547,0.8333
l60,confidence,2,0.10855,0.195378,4.011139,1.017782,1.7239,0.0953,0.8333
l60,entropy,2,0.09856,0.228526,4.145175,1.040678,1.7647,0.1071,0.8333
l60,prototype|blend0.5,2,0.116754,0.261247,4.196474,1.056509,1.3498,0.5547,0.8333
l60,joint|mask,2,0.091137,0.372422,5.495747,1.172739,0.0,0.5547,0.8333
l60,joint|blend0.25,2,0.125795,0.204333,3.887161,1.012277,1.6675,0.5547,0.8333
